,predction_0,predction_1,predction_2,predction_3,predction_4,predction_5,predction_6,predction_7,predction_8,predction_9
964,CCOC(=O)COc1ccc(F)c(NCc2cccc(-c3cccc(F)c3)c2)c1F,COC(=O)COc1ccc(F)c(NCc2cccc(-c3cccc(F)c3)c2)c1F,CC(C)(C)OC(=O)COc1ccc(F)c(NCc2cccc(-c3cccc(F)c3)c2)c1F,O=C(COc1ccc(F)c(NCc2cccc(-c3cccc(F)c3)c2)c1F)OCc1ccccc1,O=C(COc1ccc(F)c(NCc2cccc(-c3cccc(F)c3)c2)c1F)OF,CC(=O)OC(=O)COc1ccc(F)c(NCc2cccc(-c3cccc(F)c3)c2)c1F,O=C(COc1ccc(F)c(NCc2cccc(-c3cccc(F)c3)c2)c1F)OBr,O=C(COc1ccc(F)c(NCc2cccc(-c3cccc(F)c3)c2)c1F)OO,O=C(COc1ccc(F)c(NCc2cccc(-c3cccc(F)c3)c2)c1F)OCl,CC(C)(C)[Si](C)(C)OC(=O)COc1ccc(F)c(NCc2cccc(-c3cccc(F)c3)c2)c1F
965,COC(=O)c1cn(-c2ccnc(Cl)c2)cc1-c1ccccc1Cl.N,O=C(O)c1cn(-c2ccnc(Cl)c2)cc1-c1ccccc1Cl.N,CCOC(=O)c1cn(-c2ccnc(Cl)c2)cc1-c1ccccc1Cl.N,O=C(Cl)c1cn(-c2ccnc(Cl)c2)cc1-c1ccccc1Cl.N,CCCCOC(=O)c1cn(-c2ccnc(Cl)c2)cc1-c1ccccc1Cl.N,O=C([O-])c1cn(-c2ccnc(Cl)c2)cc1-c1ccccc1Cl.N,N.O=C(F)c1cn(-c2ccnc(Cl)c2)cc1-c1ccccc1Cl,N.CC(C)(C)OC(=O)c1cn(-c2ccnc(Cl)c2)cc1-c1ccccc1Cl,O=C(OCc1ccccc1)c1cn(-c2ccnc(Cl)c2)cc1-c1ccccc1Cl.N,O=Cc1cn(-c2ccnc(Cl)c2)cc1-c1ccccc1Cl.N
966,c1cn(C[C@H]2CCCN2)cn1.C[C@H](NC(=O)c1ccc(C(=O)O)c(Cl)c1)c1nc2cc(Cl)ccc2[nH]1,O=C(O)c1ccc(C(=O)N2CCC[C@@H]2Cn2ccnc2)c(Cl)c1.C[C@H](N)c1nc2cc(Cl)ccc2[nH]1,COC(=O)c1ccc(C(=O)N[C@@H](C)c2nc3cc(Cl)ccc3[nH]2)cc1Cl.c1cn(C[C@H]2CCCN2)cn1,c1cn(C[C@H]2CCCN2)cn1.CCOC(=O)c1ccc(C(=O)N[C@@H](C)c2nc3cc(Cl)ccc3[nH]2)cc1Cl,O=C([O-])c1ccc(C(=O)N2CCC[C@@H]2Cn2ccnc2)c(Cl)c1.C[C@H](N)c1nc2cc(Cl)ccc2[nH]1,c1cn(C[C@H]2CCCN2)cn1.C[C@H](NC(=O)c1ccc(C(=O)Cl)c(Cl)c1)c1nc2cc(Cl)ccc2[nH]1,C[C@H](N)c1nc2cc(Cl)ccc2[nH]1.O=C(Cl)c1ccc(C(=O)N2CCC[C@@H]2Cn2ccnc2)c(Cl)c1,c1cn(C[C@H]2CCCN2)cn1.C[C@H](NC(=O)c1ccc(C(=O)[O-])c(Cl)c1)c1nc2cc(Cl)ccc2[nH]1,COC(=O)c1ccc(C(=O)N2CCC[C@@H]2Cn2ccnc2)c(Cl)c1.C[C@H](N)c1nc2cc(Cl)ccc2[nH]1,C[C@H](N)c1nc2cc(Cl)ccc2[nH]1.CCOC(=O)c1ccc(C(=O)N2CCC[C@@H]2Cn2ccnc2)c(Cl)c1
967,CC(=O)N1CCNCC1.COC(=O)c1ccc(Br)cc1,CC(=O)N1CCNCC1.COC(=O)c1ccc(F)cc1,CC(=O)N1CCNCC1.COC(=O)c1ccc(I)cc1,CC(=O)N1CCNCC1.COC(=O)c1ccc(OS(=O)(=O)C(F)(F)F)cc1,COC(=O)c1ccc(Cl)cc1.CC(=O)N1CCNCC1,CC(=O)N1CCNCC1.COC(=O)c1ccc(B(O)O)cc1,CC(=O)N1CCNCC1.COC(=O)c1ccccc1,CC(=O)N1CCNCC1.COC(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,CC(=O)N1CCNCC1.COC(=O)c1ccc(O)cc1,CC(=O)N1CCNCC1.COC(=O)c1ccc(OS(C)(=O)=O)cc1
968,Nc1nccn2c(C3CCC3)nc(I)c12.OB(O)C=Cc1ccccc1,CC1(C)OB(C=Cc2ccccc2)OC1(C)C.Nc1nccn2c(C3CCC3)nc(I)c12,Nc1nccn2c(C3CCC3)nc(C=O)c12.c1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,Nc1nccn2c(C3CCC3)nc(Br)c12.OB(O)C=Cc1ccccc1,Nc1nccn2c(C3CCC3)nc(C[P+](c3ccccc3)(c3ccccc3)c3ccccc3)c12.O=Cc1ccccc1,O=Cc1ccccc1.C=[C+](=C)c1nc(C2CCC2)n2ccnc(N)c12,O=Cc1ccccc1.CCOP(=O)(Cc1nc(C2CCC2)n2ccnc(N)c12)OCC,O=Cc1ccccc1.Nc1nccn2c(C3CCC3)nc(C(=O)[O-])c12,COP(=O)(Cc1nc(C2CCC2)n2ccnc(N)c12)OC.O=Cc1ccccc1,CC1(C)OB(C=Cc2ccccc2)OC1(C)C.Nc1nccn2c(C3CCC3)nc(Br)c12
969,Fc1cc(F)c(-c2c(Cl)nc3ncncc3c2Cl)c(F)c1.CC1CCNCC1,Fc1cc(F)c(-c2c(F)nc3ncncc3c2Cl)c(F)c1.CC1CCNCC1,O=S(=O)(Oc1nc2ncncc2c(Cl)c1-c1c(F)cc(F)cc1F)C(F)(F)F.CC1CCNCC1,Fc1cc(F)c(-c2c(Br)nc3ncncc3c2Cl)c(F)c1.CC1CCNCC1,Oc1nc2ncncc2c(Cl)c1-c1c(F)cc(F)cc1F.CC1CCNCC1,Fc1cc(F)c(-c2c(I)nc3ncncc3c2Cl)c(F)c1.CC1CCNCC1,[CH3:1][CH:2]1[CH2:3][CH2:4][NH:5][CH2:26][CH2:27]1,CS(=O)(=O)Oc1nc2ncncc2c(Cl)c1-c1c(F)cc(F)cc1F.CC1CCNCC1,OB(O)c1nc2ncncc2c(Cl)c1-c1c(F)cc(F)cc1F.CC1CCNCC1,CC1CCNCC1.Fc1cc(F)c(-c2cnc3ncncc3c2Cl)c(F)c1
970,CC(C)(C)OC(=O)NCCCC(=O)Nc1sc(Nc2ccc3ccccc3c2)nc1C(N)=O,NC(=O)c1nc(Nc2ccc3ccccc3c2)sc1NC(=O)CCCN1C(=O)c2ccccc2C1=O,NC(=O)c1nc(Nc2ccc3ccccc3c2)sc1NC(=O)CCCNC(=O)OCc1ccccc1,CC(=O)NCCCC(=O)Nc1sc(Nc2ccc3ccccc3c2)nc1C(N)=O,NC(=O)c1nc(Nc2ccc3ccccc3c2)sc1NC(=O)CCCNC(=O)C(F)(F)F,NC(=O)c1nc(Nc2ccc3ccccc3c2)sc1NC(=O)CCCNC(=O)OCC1c2ccccc2-c2ccccc21,NC(=O)c1nc(Nc2ccc3ccccc3c2)sc1NC(=O)CCCNCc1ccccc1,NC(=O)c1nc(Nc2ccc3ccccc3c2)sc1NC(=O)CCCNC(=O)c1ccccc1,COc1ccc(CNCCCC(=O)Nc2sc(Nc3ccc4ccccc4c3)nc2C(N)=O)cc1,[NH]CCCC(=O)Nc1sc(Nc2ccc3ccccc3c2)nc1C(N)=O
971,CC(C)(C#N)c1cccc(C(=O)Cl)c1.Nc1ccc(Cl)c(O)c1,Nc1ccc(Cl)c(O)c1.CC(C)(C#N)c1cccc(C(=O)O)c1,COC(=O)c1cccc(C(C)(C)C#N)c1.Nc1ccc(Cl)c(O)c1,CCOC(=O)c1cccc(C(C)(C)C#N)c1.Nc1ccc(Cl)c(O)c1,Nc1ccc(Cl)c(O)c1.CC(C)(C#N)c1cccc(C(=O)[O-])c1,Nc1ccc(Cl)c(O)c1.CC(C)(C#N)c1cccc(C(=O)OC(=O)C2CC2)c1,Nc1ccc(Cl)c(O)c1.CC(C)(C#N)c1cccc(C(=O)Br)c1,Nc1ccc(Cl)c(O)c1.CC(C)(C#N)c1cccc(C(=O)OCc2ccccc2)c1,CC(C)(C#N)c1cccc(C(=O)F)c1.Nc1ccc(Cl)c(O)c1,Nc1ccc(Cl)c(O)c1.CC(C)(C#N)c1cccc(C(=O)OC(=O)CCl)c1
972,COc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(I)cc1,Ic1ccc(C2c3ccc(OCc4ccccc4)cc3CCN2c2ccccc2)cc1,COCOc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(I)cc1,CC(=O)Oc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(I)cc1,CC(C)[Si](Oc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(I)cc1)(C(C)C)C(C)C,COc1ccc(COc2ccc3c(c2)CCN(c2ccccc2)C3c2ccc(I)cc2)cc1,CC(C)(C)[Si](C)(C)Oc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(I)cc1,Ic1ccc(C2c3ccc(OC4CCCCO4)cc3CCN2c2ccccc2)cc1,CCOc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(I)cc1,O=C(Oc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(I)cc1)c1ccccc1
973,C[C@@H]1CN(C(=O)OC(C)(C)C)C[C@H]1c1nc2c(cnn2C2CCCC2)c(=O)[nH]1,C[C@@H]1CN(Cc2ccccc2)C[C@H]1c1nc2c(cnn2C2CCCC2)c(=O)[nH]1,C[C@@H]1CN(C(=O)OCc2ccccc2)C[C@H]1c1nc2c(cnn2C2CCCC2)c(=O)[nH]1,C[C@@H]1CN(C(c2ccccc2)c2ccccc2)C[C@H]1c1nc2c(cnn2C2CCCC2)c(=O)[nH]1,C[C@@H]1CN(C(=O)C(F)(F)F)C[C@H]1c1nc2c(cnn2C2CCCC2)c(=O)[nH]1,C[C@@H]1CN(C(=O)OCC2c3ccccc3-c3ccccc32)C[C@H]1c1nc2c(cnn2C2CCCC2)c(=O)[nH]1,C[C@@H]1CN(C(=O)c2ccccc2)C[C@H]1c1nc2c(cnn2C2CCCC2)c(=O)[nH]1,CC(=O)N1C[C@@H](C)[C@H](c2nc3c(cnn3C3CCCC3)c(=O)[nH]2)C1,COc1ccc(CN2C[C@@H](C)[C@H](c3nc4c(cnn4C4CCCC4)c(=O)[nH]3)C2)cc1,C[C@@H]1CN(I)C[C@H]1c1nc2c(cnn2C2CCCC2)c(=O)[nH]1
974,CC(C)(C)OC(=O)N1CCC(O)C1.Clc1ncc(Br)cn1,CC(C)(C)OC(=O)N1CCC(O)C1.Fc1ncc(Br)cn1,CC(C)(C)OC(=O)N1CCC(O)C1.Oc1ncc(Br)cn1,CC(C)(C)OC(=O)N1CCC(O)C1.Brc1cnc(Br)nc1,CC(C)(C)OC(=O)N1CCC(O)C1.Brc1cnc(I)nc1,CC(C)(C)OC(=O)N1CCC(O)C1.Brc1cncnc1,CC(C)(C)OC(=O)N1CCC(O)C1.CS(=O)(=O)Oc1ncc(Br)cn1,CC(C)(C)OC(=O)N1CCC(O)C1.COc1ncc(Br)cn1,O=S(=O)(Oc1ncc(Br)cn1)C(F)(F)F.CC(C)(C)OC(=O)N1CCC(O)C1,Oc1ncc(Br)cn1.CC(C)(C)OC(=O)N1CCC(OS(C)(=O)=O)C1
975,CC(C)(C)OC(=O)N1CCN(C(=O)COc2ccc3c(c2)C(C2(c4ccc(Cl)cc4)CCC2)=NCC3)CC1,O=C(COc1ccc2c(c1)C(C1(c3ccc(Cl)cc3)CCC1)=NCC2)N1CCN(C(=O)OCc2ccccc2)CC1,O=C(COc1ccc2c(c1)C(C1(c3ccc(Cl)cc3)CCC1)=NCC2)N1CCN(Cc2ccccc2)CC1,O=C(COc1ccc2c(c1)C(C1(c3ccc(Cl)cc3)CCC1)=NCC2)N1CCN(C(=O)C(F)(F)F)CC1,O=C(COc1ccc2c(c1)C(C1(c3ccc(Cl)cc3)CCC1)=NCC2)N1CCN(C(=O)OCC2c3ccccc3-c3ccccc32)CC1,O=C(COc1ccc2c(c1)C(C1(c3ccc(Cl)cc3)CCC1)=NCC2)N1CCN(C(=O)c2ccccc2)CC1,CC(=O)N1CCN(C(=O)COc2ccc3c(c2)C(C2(c4ccc(Cl)cc4)CCC2)=NCC3)CC1,O=C(COc1ccc2c(c1)C(C1(c3ccc(Cl)cc3)CCC1)=NCC2)N1CC[N+]2(CC1)C(=O)c1ccccc1C2=O,O=C(COc1ccc2c(c1)C(C1(c3ccc(Cl)cc3)CCC1)=NCC2)N1CCN(C(c2ccccc2)c2ccccc2)CC1,COc1ccc(CN2CCN(C(=O)COc3ccc4c(c3)C(C3(c5ccc(Cl)cc5)CCC3)=NCC4)CC2)cc1
976,O=C([C@@H]1CCCC[C@H]1c1ccccc1)N1CC(CN2CC=C(c3ccccc3)CC2)C(c2ccccc2)C1,O=C([C@@H]1CCCC[C@H]1c1ccccc1)N1CC(CN2CC=C(c3ccccc3)CC2)C(c2ccccc2)C1,O=C(C1CN(C(=O)[C@@H]2CCCC[C@H]2c2ccccc2)CC1c1ccccc1)N1CCC(c2ccccc2)CC1,O=C([C@@H]1CCCC[C@H]1c1ccccc1)N1CC(CN2CCC(c3ccccc3)CC2)=C(c2ccccc2)C1,O=C(C1=C(c2ccccc2)CCCC1)N1CC(CN2CCC(c3ccccc3)CC2)C(c2ccccc2)C1,O=C([C@@H]1CCCC=C1c1ccccc1)N1CC(CN2CCC(c3ccccc3)CC2)C(c2ccccc2)C1,O=C([C@@H]1CCC=C[C@H]1c1ccccc1)N1CC(CN2CCC(c3ccccc3)CC2)C(c2ccccc2)C1,O=C([C@@H]1CCCC[C@H]1c1ccccc1)N1C=C(c2ccccc2)C(CN2CCC(c3ccccc3)CC2)C1,O=C([C@@H]1C=CCC[C@H]1c1ccccc1)N1CC(CN2CCC(c3ccccc3)CC2)C(c2ccccc2)C1,O=C([C@@H]1CC=CC[C@H]1c1ccccc1)N1CC(CN2CCC(c3ccccc3)CC2)C(c2ccccc2)C1
977,Cc1cccc(C)c1NC(=O)Nc1cc(Cl)c(Cl)cc1C(=O)O.COC(=O)[C@@H](N)C1CCCCC1,COC(=O)c1cc(Cl)c(Cl)cc1NC(=O)Nc1c(C)cccc1C.COC(=O)[C@@H](N)C1CCCCC1,Cc1cccc(C)c1NC(=O)Nc1cc(Cl)c(Cl)cc1C(=O)Cl.COC(=O)[C@@H](N)C1CCCCC1,CCOC(=O)c1cc(Cl)c(Cl)cc1NC(=O)Nc1c(C)cccc1C.COC(=O)[C@@H](N)C1CCCCC1,COC(=O)[C@@H](NC(=O)c1cc(Cl)c(Cl)cc1NC(=O)OCC(Cl)(Cl)Cl)C1CCCCC1.Cc1cccc(C)c1N,COC(=O)[C@@H](NC(=O)c1cc(Cl)c(Cl)cc1NC(=O)OC(C)(C)C)C1CCCCC1.Cc1cccc(C)c1N,Cc1cccc(C)c1NC(=O)Nc1cc(Cl)c(Cl)cc1C(=O)N[C@H](C(=O)O)C1CCCCC1.CO,CCOC(=O)Nc1cc(Cl)c(Cl)cc1C(=O)N[C@H](C(=O)OC)C1CCCCC1.Cc1cccc(C)c1N,Cc1cccc(C)c1NC(=O)Nc1cc(Cl)c(Cl)cc1C(=O)F.COC(=O)[C@@H](N)C1CCCCC1,Cc1cccc(C)c1NC(=O)OCC(Cl)(Cl)Cl.COC(=O)[C@@H](NC(=O)c1cc(Cl)c(Cl)cc1N)C1CCCCC1
978,CCOC(=O)c1cc(Cl)cc(C)n1.Nc1ccc(Cl)cn1,Nc1ccc(Cl)cn1.COC(=O)c1cc(Cl)cc(C)n1,Cc1cc(Cl)cc(C(=O)O)n1.Nc1ccc(Cl)cn1,Cc1cc(Cl)cc(C(=O)[O-])n1.Nc1ccc(Cl)cn1,Cc1cc(Cl)cc(C(=O)OC(C)(C)C)n1.Nc1ccc(Cl)cn1,Cc1cc(Cl)cc(C(=O)OCc2ccccc2)n1.Nc1ccc(Cl)cn1,Cc1cc(Cl)cc(C(=O)Cl)n1.Nc1ccc(Cl)cn1,CCCCOC(=O)c1cc(Cl)cc(C)n1.Nc1ccc(Cl)cn1,Cc1cc(Cl)cc(C(=O)OCC(C)C)n1.Nc1ccc(Cl)cn1,Cc1cc(Cl)cc(C=O)n1.Nc1ccc(Cl)cn1
979,CCc1c(N)ncnc1Cl.Cc1cc(-c2cn(CCN3CCC3)c(C3CCNCC3)n2)ccc1F,CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(F)c(C)c3)cn2CC=O)CC1.C1CNC1,CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(F)c(C)c3)cn2CCOS(C)(=O)=O)CC1.C1CNC1,ClCCN1CCC1.CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(F)c(C)c3)c[nH]2)CC1,CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(F)c(C)c3)cn2CCO)CC1.C1CNC1,CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(F)c(C)c3)cn2CCBr)CC1.C1CNC1,CCc1c(N)ncnc1Br.Cc1cc(-c2cn(CCN3CCC3)c(C3CCNCC3)n2)ccc1F,Cc1cc(-c2cn(CCN3CCC3)c(C3CCNCC3)n2)ccc1F.CCc1c(N)ncnc1I,C1CNC1.CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(F)c(C)c3)cn2CCCl)CC1,Cc1cc(-c2cn(CCN3CCC3)c(C3CCNCC3)n2)ccc1F.CCc1c(N)ncnc1O
980,COC(=O)[C@H](C(C)C)N1Cc2cc(-c3ccc(NC(=O)c4ccc(C)cc4)cc3)ccc2C1=O,CCOC(=O)[C@H](C(C)C)N1Cc2cc(-c3ccc(NC(=O)c4ccc(C)cc4)cc3)ccc2C1=O,Cc1ccc(C(=O)Nc2ccc(-c3ccc4c(c3)CN([C@H](C(=O)OC(C)(C)C)C(C)C)C4=O)cc2)cc1,Cc1ccc(C(=O)Nc2ccc(-c3ccc4c(c3)CN([C@H](C(=O)OCc3ccccc3)C(C)C)C4=O)cc2)cc1,CC(=O)OC(=O)[C@H](C(C)C)N1Cc2cc(-c3ccc(NC(=O)c4ccc(C)cc4)cc3)ccc2C1=O,Cc1ccc(C(=O)Nc2ccc(-c3ccc4c(c3)CN([C@H](C(=O)OBr)C(C)C)C4=O)cc2)cc1,COc1ccc(COC(=O)[C@H](C(C)C)N2Cc3cc(-c4ccc(NC(=O)c5ccc(C)cc5)cc4)ccc3C2=O)cc1,Cc1ccc(C(=O)Nc2ccc(-c3ccc4c(c3)CN([C@H](C(=O)OCl)C(C)C)C4=O)cc2)cc1,Cc1ccc(C(=O)Nc2ccc(-c3ccc4c(c3)CN([C@H](C(=O)O[Si](C)(C)C(C)(C)C)C(C)C)C4=O)cc2)cc1,Cc1ccc(C(=O)Nc2ccc(-c3ccc4c(c3)CN([C@H](C(=O)OI)C(C)C)C4=O)cc2)cc1
981,COc1ccc(Nc2ccccc2C(=O)O)c(C)c1,CCOc1ccc(Nc2ccccc2C(=O)O)c(C)c1,Cc1cc(OC(C)(C)C)ccc1Nc1ccccc1C(=O)O,Cc1cc(OCc2ccccc2)ccc1Nc1ccccc1C(=O)O,COC(=O)c1ccccc1Nc1ccc(O)cc1C,CCOC(=O)c1ccccc1Nc1ccc(O)cc1C,Cc1cc(O)ccc1Nc1ccccc1C(=O)OC(C)(C)C,CC(=O)Oc1ccc(Nc2ccccc2C(=O)O)c(C)c1,Cc1cc(O)ccc1Nc1ccccc1C(=O)OCc1ccccc1,Cc1cc(O[Si](C)(C)C(C)(C)C)ccc1Nc1ccccc1C(=O)O
982,Cc1cc(C[C@@H](OC(=O)N2CCC(n3nc(-c4ccccc4)[nH]c3=O)CC2)C(=O)N2CCC(C3CCN(CC(=O)OC(C)(C)C)CC3)CC2)cc(C)c1O,CCOC(=O)CN1CCC(C2CCN(C(=O)[C@@H](Cc3cc(C)c(O)c(C)c3)OC(=O)N3CCC(n4nc(-c5ccccc5)[nH]c4=O)CC3)CC2)CC1,COC(=O)CN1CCC(C2CCN(C(=O)[C@@H](Cc3cc(C)c(O)c(C)c3)OC(=O)N3CCC(n4nc(-c5ccccc5)[nH]c4=O)CC3)CC2)CC1,Cc1cc(C[C@@H](OC(=O)N2CCC(n3nc(-c4ccccc4)[nH]c3=O)CC2)C(=O)N2CCC(C3CCN(CC(=O)OCc4ccccc4)CC3)CC2)cc(C)c1O,COc1ccc(COC(=O)CN2CCC(C3CCN(C(=O)[C@@H](Cc4cc(C)c(O)c(C)c4)OC(=O)N4CCC(n5nc(-c6ccccc6)[nH]c5=O)CC4)CC3)CC2)cc1,Cc1cc(C[C@@H](OC(=O)N2CCC(n3nc(-c4ccccc4)[nH]c3=O)CC2)C(=O)N2CCC(C3CCN(CC(=O)O[Si](C)(C)C(C)(C)C)CC3)CC2)cc(C)c1O,CC(=O)OC(=O)CN1CCC(C2CCN(C(=O)[C@@H](Cc3cc(C)c(O)c(C)c3)OC(=O)N3CCC(n4nc(-c5ccccc5)[nH]c4=O)CC3)CC2)CC1,Cc1cc(C[C@@H](OC(=O)N2CCC(n3nc(-c4ccccc4)[nH]c3=O)CC2)C(=O)N2CCC(C3CCN(CC(=O)OC(=O)c4ccccc4)CC3)CC2)cc(C)c1O,Cc1cc(C[C@@H](OC(=O)N2CCC(n3nc(-c4ccccc4)[nH]c3=O)CC2)C(=O)N2CCC(C3CCN(CC(=O)OBr)CC3)CC2)cc(C)c1O,Cc1cc(C[C@@H](OC(=O)N2CCC(n3nc(-c4ccccc4)[nH]c3=O)CC2)C(=O)N2CCC(C3CCN(CC(=O)OC(=O)OC(C)(C)C)CC3)CC2)cc(C)c1O
983,CN1CCNCC1.CCc1c(F)c(F)cc([N+](=O)[O-])c1NC1CC1,CCc1c(F)c([N+](=O)[O-])cc(F)c1N1CCN(C)CC1.NC1CC1,CN1CCNCC1.CCc1c(Br)c(F)cc([N+](=O)[O-])c1NC1CC1,CN1CCNCC1.CCc1c(Cl)c(F)cc([N+](=O)[O-])c1NC1CC1,CCc1c(Cl)c([N+](=O)[O-])cc(F)c1N1CCN(C)CC1.NC1CC1,C=O.CCc1c(NC2CC2)c([N+](=O)[O-])cc(F)c1N1CCNCC1,CCc1c(Br)c([N+](=O)[O-])cc(F)c1N1CCN(C)CC1.NC1CC1,CI.CCc1c(NC2CC2)c([N+](=O)[O-])cc(F)c1N1CCNCC1,CBr.CCc1c(NC2CC2)c([N+](=O)[O-])cc(F)c1N1CCNCC1,O=C1CC1.CCc1c(N)c([N+](=O)[O-])cc(F)c1N1CCN(C)CC1
984,Oc1ccccc1.Clc1ccc2cc(OCc3ccccc3)ccc2n1,Fc1ccc2cc(OCc3ccccc3)ccc2n1.Oc1ccccc1,Oc1ccc2nc(Oc3ccccc3)ccc2c1.BrCc1ccccc1,ClCc1ccccc1.Oc1ccc2nc(Oc3ccccc3)ccc2c1,Brc1ccc2cc(OCc3ccccc3)ccc2n1.Oc1ccccc1,OCc1ccccc1.Oc1ccc2nc(Oc3ccccc3)ccc2c1,Brc1ccc2nc(Oc3ccccc3)ccc2c1.OCc1ccccc1,O=S(=O)(Oc1ccc2cc(OCc3ccccc3)ccc2n1)C(F)(F)F.Oc1ccccc1,OCc1ccccc1.Ic1ccc2nc(Oc3ccccc3)ccc2c1,Oc1ccc2cc(OCc3ccccc3)ccc2n1.Oc1ccccc1
985,O=C(Cl)c1ccco1.Nc1c(C(O)(C(F)(F)F)C(F)(F)F)ccc2ccccc12,O=C(O)c1ccco1.Nc1c(C(O)(C(F)(F)F)C(F)(F)F)ccc2ccccc12,COC(=O)c1ccco1.Nc1c(C(O)(C(F)(F)F)C(F)(F)F)ccc2ccccc12,O=C(Br)c1ccco1.Nc1c(C(O)(C(F)(F)F)C(F)(F)F)ccc2ccccc12,O=C(CCl)OC(=O)c1ccco1.Nc1c(C(O)(C(F)(F)F)C(F)(F)F)ccc2ccccc12,O=C([O-])c1ccco1.Nc1c(C(O)(C(F)(F)F)C(F)(F)F)ccc2ccccc12,CC(=O)OC(=O)c1ccco1.Nc1c(C(O)(C(F)(F)F)C(F)(F)F)ccc2ccccc12,C=C(C)C(=O)OC(=O)c1ccco1.Nc1c(C(O)(C(F)(F)F)C(F)(F)F)ccc2ccccc12,CCC(=O)OC(=O)c1ccco1.Nc1c(C(O)(C(F)(F)F)C(F)(F)F)ccc2ccccc12,CCOC(=O)c1ccco1.Nc1c(C(O)(C(F)(F)F)C(F)(F)F)ccc2ccccc12
986,CSc1ccc(CN2CCCC(=O)C2)cc1.CC(C)(C)C(=O)n1ncc2cc(N)ccc21,CSc1ccc(C=O)cc1.CC(C)(C)C(=O)n1ncc2cc(NC3CCCNC3)ccc21,CC(C)(C)C(=O)n1ncc2cc(Br)ccc21.CSc1ccc(CN2CCCC(N)C2)cc1,CSc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1.CC(C)(C)C(=O)Cl,CC(C)(C)C(=O)n1ncc2cc(I)ccc21.CSc1ccc(CN2CCCC(N)C2)cc1,CC(C)(C)C(=O)n1ncc2cc(OS(=O)(=O)C(F)(F)F)ccc21.CSc1ccc(CN2CCCC(N)C2)cc1,CC(C)(C)C(=O)n1ncc2cc(Cl)ccc21.CSc1ccc(CN2CCCC(N)C2)cc1,CSc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1.CC(C)(C)C(=O)O,CC(C)(C)C(=O)n1ncc2cc(NC3CCCN(Cc4ccc(Br)cc4)C3)ccc21.CS,CSc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1.CC(C)(C)[C+](=O)=O
987,O=[N+]([O-])c1ccc(Cl)nc1.Cc1cccc(C)c1B(O)O,O=[N+]([O-])c1ccc(Br)nc1.Cc1cccc(C)c1B(O)O,Cc1cccc(C)c1B1OC(C)(C)C(C)(C)O1.O=[N+]([O-])c1ccc(Br)nc1,O=[N+]([O-])c1ccc(Cl)nc1.Cc1cccc(C)c1B1OC(C)(C)C(C)(C)O1,O=[N+]([O-])c1ccc(I)nc1.Cc1cccc(C)c1B(O)O,O=[N+]([O-])c1ccc(I)nc1.Cc1cccc(C)c1B1OC(C)(C)C(C)(C)O1,O=[N+]([O-])c1ccc(Br)nc1.Cc1cccc(C)c1Br,Cc1cccc(C)c1I.O=[N+]([O-])c1ccc(Br)nc1,CCCC[Sn](CCCC)(CCCC)c1ccc([N+](=O)[O-])cn1.Cc1cccc(C)c1Br,C[Sn](C)(C)c1ccc([N+](=O)[O-])cn1.Cc1cccc(C)c1Br
988,CI.Cn1cncc1C(O)(c1ccc(Cl)nc1)c1ccc2[nH]c(=O)cc(-c3cccc(Cl)c3)c2c1,Cn1cncc1C(O)(c1ccc(Cl)nc1)c1ccc2[nH]c(=O)cc(-c3cccc(Cl)c3)c2c1.CB(O)O,CBr.Cn1cncc1C(O)(c1ccc(Cl)nc1)c1ccc2[nH]c(=O)cc(-c3cccc(Cl)c3)c2c1,Cn1cncc1C(O)(c1ccc(Cl)nc1)c1ccc2[nH]c(=O)cc(-c3cccc(Cl)c3)c2c1.C[Mg+],Cn1cncc1C(O)(c1ccc(Cl)nc1)c1ccc2[nH]c(=O)cc(-c3cccc(Cl)c3)c2c1.CO,CI.Cn1c(=O)cc(-c2cccc(Cl)c2)c2cc(C(O)(c3ccc(Cl)nc3)c3cnc[nH]3)ccc21,Cn1c(=O)cc(-c2cccc(Cl)c2)c2cc(C(O)(c3ccc(Cl)nc3)c3cnc[nH]3)ccc21.CO,Cn1c(=O)cc(-c2cccc(Cl)c2)c2cc(C(O)(c3ccc(Cl)nc3)c3cnc[nH]3)ccc21.CB(O)O,,
